time,type,detail,amount,balance
2025-11-11 14:43:29,LOGIN,Đăng nhập 1001,0,501000
2025-11-11 14:44:22,DEPOSIT,Nạp tiền,100000,601000
2025-11-11 14:45:13,TRANSFER_IN,Nhận từ 1002,300000,901000
2025-11-11 14:45:17,BALANCE,Vấn tin,0,901000
2025-11-11 14:45:28,TRANSFER_IN,Nhận từ 1002,3000,904000
2025-11-11 14:45:33,BALANCE,Vấn tin,0,904000
2025-11-11 14:53:09,LOGIN,Đăng nhập 1001,0,904000
2025-11-11 14:53:42,TRANSFER_IN,Nhận từ 1002,100000,1004000
2025-11-11 14:53:52,TRANSFER_IN,Nhận từ 1002,100000,1104000
2025-11-11 14:57:23,DEPOSIT,Nạp tiền,1000,1105000
2025-11-11 14:57:25,WITHDRAW,Rút tiền,1000,1104000
2025-11-11 14:57:29,TRANSFER_IN,Nhận từ 1002,100000,1204000
2025-11-11 14:57:34,TRANSFER_IN,Nhận từ 1002,100000,1304000
2025-11-18 13:19:49,ERROR,Not logged in,0,0
2025-11-18 13:20:05,ERROR,Not logged in,0,0
2025-11-18 13:27:53,ERROR,Not logged in,0,0
2025-11-18 13:30:43,ERROR,Not logged in,0,0
2025-11-18 13:38:34,LOGIN,Đăng nhập 1001,0,1000000
2025-11-18 13:39:00,BALANCE,Vấn tin,0,1000000
2025-11-18 13:39:10,DEPOSIT,Nạp tiền,50000,1050000
2025-11-18 13:54:15,LOGIN,Đăng nhập 1001,0,1050000
2025-11-18 13:54:46,WITHDRAW,Rút tiền,20000,1030000
2025-11-18 13:54:47,DEPOSIT,Nạp tiền,20000,1050000
2025-11-18 13:55:04,TRANSFER_OUT,Chuyển cho 1002,50000,1000000
2025-11-18 13:55:43,TRANSFER_IN,Nhận từ 1002,20000,1020000
2025-11-25 12:00:04,ERROR,Connection refused to host: 192.168.1.143; nested exception is: 
	java.net.ConnectException: Connection refused: connect,0,0
2025-11-25 12:01:29,ERROR,Connection refused to host: 192.168.1.143; nested exception is: 
	java.net.ConnectException: Connection refused: connect,0,0
2025-11-25 12:01:32,ERROR,Connection refused to host: 192.168.1.143; nested exception is: 
	java.net.ConnectException: Connection refused: connect,0,0
2025-11-25 12:02:34,LOGIN,Đăng nhập 1001,0,1020000
2025-11-25 12:03:29,TRANSFER_IN,Nhận từ 1002,80000,1100000
2025-11-25 12:19:22,LOGIN,Đăng nhập 1001,0,1100000
